"Channel"	"sampleID"	"dataID"	"inferenceTime"
"NDUFB8"	"P01"	"NDUFB8__P01"	0.988999999999578
"NDUFB8"	"P02"	"NDUFB8__P02"	0.891999999999825
"NDUFB8"	"P03"	"NDUFB8__P03"	1.0570000000007
"NDUFB8"	"P04"	"NDUFB8__P04"	1.29999999999927
"NDUFB8"	"P05"	"NDUFB8__P05"	0.738999999999578
"NDUFB8"	"P06"	"NDUFB8__P06"	0.965000000000146
"NDUFB8"	"P07"	"NDUFB8__P07"	0.604999999999563
"NDUFB8"	"P09"	"NDUFB8__P09"	0.917000000001281
"NDUFB8"	"P10"	"NDUFB8__P10"	0.90599999999904
"NDUFB8"	"P11"	"NDUFB8__P11"	1.10699999999997
"NDUFB8"	"P12"	"NDUFB8__P12"	0.776000000001659
"CYB"	"P01"	"CYB__P01"	0.871999999999389
"CYB"	"P02"	"CYB__P02"	0.73699999999917
"CYB"	"P03"	"CYB__P03"	1.04900000000089
"CYB"	"P04"	"CYB__P04"	1.22299999999996
"CYB"	"P05"	"CYB__P05"	0.791999999999462
"CYB"	"P06"	"CYB__P06"	0.990000000001601
"CYB"	"P07"	"CYB__P07"	0.610999999998967
"CYB"	"P09"	"CYB__P09"	0.908000000001266
"CYB"	"P10"	"CYB__P10"	0.912999999998647
"CYB"	"P11"	"CYB__P11"	1.14000000000124
"CYB"	"P12"	"CYB__P12"	0.718000000000757
"MTCO1"	"P01"	"MTCO1__P01"	0.945999999999913
"MTCO1"	"P02"	"MTCO1__P02"	0.869999999998981
"MTCO1"	"P03"	"MTCO1__P03"	0.960999999999331
"MTCO1"	"P04"	"MTCO1__P04"	1.3760000000002
"MTCO1"	"P05"	"MTCO1__P05"	0.790999999999258
"MTCO1"	"P06"	"MTCO1__P06"	0.945999999999913
"MTCO1"	"P07"	"MTCO1__P07"	0.612999999999374
"MTCO1"	"P09"	"MTCO1__P09"	0.971999999999753
"MTCO1"	"P10"	"MTCO1__P10"	0.915999999999258
"MTCO1"	"P11"	"MTCO1__P11"	1.13600000000042
"MTCO1"	"P12"	"MTCO1__P12"	0.718000000000757
