"Channel"	"sampleID"	"dataID"	"inferenceTime"
"NDUFB8"	"P01"	"NDUFB8__P01"	89.286
"NDUFB8"	"P02"	"NDUFB8__P02"	58.717
"NDUFB8"	"P03"	"NDUFB8__P03"	100.341
"NDUFB8"	"P04"	"NDUFB8__P04"	152.379
"NDUFB8"	"P05"	"NDUFB8__P05"	84.519
"NDUFB8"	"P06"	"NDUFB8__P06"	59.164
"NDUFB8"	"P07"	"NDUFB8__P07"	46.808
"NDUFB8"	"P09"	"NDUFB8__P09"	81.703
"NDUFB8"	"P10"	"NDUFB8__P10"	89.854
"NDUFB8"	"P11"	"NDUFB8__P11"	116.664
"NDUFB8"	"P12"	"NDUFB8__P12"	87.02
"CYB"	"P01"	"CYB__P01"	89.851
"CYB"	"P02"	"CYB__P02"	70.983
"CYB"	"P03"	"CYB__P03"	104.211
"CYB"	"P04"	"CYB__P04"	154.747
"CYB"	"P05"	"CYB__P05"	80.1930000000002
"CYB"	"P06"	"CYB__P06"	94.096
"CYB"	"P07"	"CYB__P07"	46.423
"CYB"	"P09"	"CYB__P09"	83.2910000000002
"CYB"	"P10"	"CYB__P10"	89.431
"CYB"	"P11"	"CYB__P11"	118.198
"CYB"	"P12"	"CYB__P12"	102.976
"MTCO1"	"P01"	"MTCO1__P01"	91.1500000000001
"MTCO1"	"P02"	"MTCO1__P02"	134.225
"MTCO1"	"P03"	"MTCO1__P03"	99.6590000000001
"MTCO1"	"P04"	"MTCO1__P04"	146.959
"MTCO1"	"P05"	"MTCO1__P05"	79.2669999999998
"MTCO1"	"P06"	"MTCO1__P06"	95.1619999999998
"MTCO1"	"P07"	"MTCO1__P07"	44.156
"MTCO1"	"P09"	"MTCO1__P09"	76.9870000000001
"MTCO1"	"P10"	"MTCO1__P10"	86.4070000000002
"MTCO1"	"P11"	"MTCO1__P11"	113.261
"MTCO1"	"P12"	"MTCO1__P12"	83.1639999999998
