"fibreID"	"sampleID"	"Channel"	"Value"	"sbjType"	"obsID"	"trueValue"	"deficientStatus"	"validationSet"
1	"C01"	"VDAC"	1.67872703638062	"control"	"C01_1"	1.67872703638062	0	0
1	"C01"	"CYB"	1.3739830301928	"control"	"C01_1"	1.42291707474886	0	0
2	"C01"	"VDAC"	0.731107942615787	"control"	"C01_2"	0.731107942615787	0	0
2	"C01"	"CYB"	0.946102066777484	"control"	"C01_2"	0.818835395786434	0	0
3	"C01"	"VDAC"	1.6460025816157	"control"	"C01_3"	1.6460025816157	0	0
3	"C01"	"CYB"	1.45757216423184	"control"	"C01_3"	1.51095027611731	0	0
4	"C01"	"VDAC"	1.0784677225175	"control"	"C01_4"	1.0784677225175	0	0
4	"C01"	"CYB"	1.29145144791612	"control"	"C01_4"	0.98881014133002	0	0
5	"C01"	"VDAC"	0.762929629648445	"control"	"C01_5"	0.762929629648445	0	0
5	"C01"	"CYB"	0.716201502652266	"control"	"C01_5"	0.768439285351807	0	0
6	"C01"	"VDAC"	0.989541193613748	"control"	"C01_6"	0.989541193613748	0	0
6	"C01"	"CYB"	1.0520321634079	"control"	"C01_6"	0.839409687538197	0	0
7	"C01"	"VDAC"	0.563368137344235	"control"	"C01_7"	0.563368137344235	0	1
7	"C01"	"CYB"	0.740381064110365	"control"	"C01_7"	0.525195564235714	0	1
8	"C01"	"VDAC"	0.998752769192794	"control"	"C01_8"	0.998752769192794	0	0
8	"C01"	"CYB"	0.894121375134087	"control"	"C01_8"	1.21875660039068	0	0
9	"C01"	"VDAC"	1.08964361878145	"control"	"C01_9"	1.08964361878145	0	0
9	"C01"	"CYB"	1.14740558985994	"control"	"C01_9"	1.10306663897008	0	0
10	"C01"	"VDAC"	0.822080864024548	"control"	"C01_10"	0.822080864024548	0	0
10	"C01"	"CYB"	0.905741899450086	"control"	"C01_10"	0.805820343023075	0	0
11	"C01"	"VDAC"	0.866447381598884	"control"	"C01_11"	0.866447381598884	0	0
11	"C01"	"CYB"	1.15743035479466	"control"	"C01_11"	0.764476501621569	0	0
12	"C01"	"VDAC"	1.01160091167848	"control"	"C01_12"	1.01160091167848	0	0
12	"C01"	"CYB"	1.13574473209275	"control"	"C01_12"	0.907480102015009	0	0
13	"C01"	"VDAC"	1.06733098940665	"control"	"C01_13"	1.06733098940665	0	0
13	"C01"	"CYB"	1.08602862810022	"control"	"C01_13"	0.846521161263087	0	0
14	"C01"	"VDAC"	1.11506740950731	"control"	"C01_14"	1.11506740950731	0	0
14	"C01"	"CYB"	1.03199747738847	"control"	"C01_14"	0.857587340087821	0	0
15	"C01"	"VDAC"	0.842766814973108	"control"	"C01_15"	0.842766814973108	0	0
15	"C01"	"CYB"	0.997299149813062	"control"	"C01_15"	0.792476888951965	0	0
16	"C01"	"VDAC"	1.16245093807759	"control"	"C01_16"	1.16245093807759	0	0
16	"C01"	"CYB"	1.22328642161898	"control"	"C01_16"	1.06187604891991	0	0
17	"C01"	"VDAC"	1.08898139547597	"control"	"C01_17"	1.08898139547597	0	1
17	"C01"	"CYB"	1.09717426435127	"control"	"C01_17"	0.877862037375278	0	1
18	"C01"	"VDAC"	0.938717767689825	"control"	"C01_18"	0.938717767689825	0	0
18	"C01"	"CYB"	0.773263161564563	"control"	"C01_18"	0.765228062697104	0	0
19	"C01"	"VDAC"	0.721699082358016	"control"	"C01_19"	0.721699082358016	0	0
19	"C01"	"CYB"	0.530333596981603	"control"	"C01_19"	0.595547797027032	0	0
20	"C01"	"VDAC"	0.671598844310178	"control"	"C01_20"	0.671598844310178	0	0
20	"C01"	"CYB"	0.767524128384557	"control"	"C01_20"	0.82885643230174	0	0
21	"C01"	"VDAC"	1.10172271095207	"control"	"C01_21"	1.10172271095207	0	0
21	"C01"	"CYB"	0.955176648311149	"control"	"C01_21"	1.03428143023381	0	0
22	"C01"	"VDAC"	0.724267089368457	"control"	"C01_22"	0.724267089368457	0	0
22	"C01"	"CYB"	0.828483717782691	"control"	"C01_22"	0.705995323054816	0	0
23	"C01"	"VDAC"	1.11896182814526	"control"	"C01_23"	1.11896182814526	0	0
23	"C01"	"CYB"	1.06238950494634	"control"	"C01_23"	0.857316729485632	0	0
24	"C01"	"VDAC"	0.669132304416835	"control"	"C01_24"	0.669132304416835	0	0
24	"C01"	"CYB"	0.435366253431022	"control"	"C01_24"	0.509468771658367	0	0
25	"C01"	"VDAC"	0.774208218174886	"control"	"C01_25"	0.774208218174886	0	0
25	"C01"	"CYB"	0.588895180291389	"control"	"C01_25"	0.575571076929153	0	0
26	"C01"	"VDAC"	1.06796365396485	"control"	"C01_26"	1.06796365396485	0	0
26	"C01"	"CYB"	1.15655435470609	"control"	"C01_26"	0.885912696352645	0	0
27	"C01"	"VDAC"	1.04056490687203	"control"	"C01_27"	1.04056490687203	0	0
27	"C01"	"CYB"	1.04251793860837	"control"	"C01_27"	1.19456311291292	0	0
28	"C01"	"VDAC"	0.941179493421184	"control"	"C01_28"	0.941179493421184	0	1
28	"C01"	"CYB"	0.784640398047467	"control"	"C01_28"	0.942224971765252	0	1
