"fibreID"	"sampleID"	"Channel"	"Value"	"sbjType"	"obsID"	"trueValue"	"deficientStatus"	"validationSet"
1	"C01"	"VDAC"	1.67872703638062	"control"	"C01_1"	1.67872703638062	0	0
1	"C01"	"NDUFB8"	1.86921614674685	"control"	"C01_1"	1.62268313924991	0	0
2	"C01"	"VDAC"	0.731107942615787	"control"	"C01_2"	0.731107942615787	0	0
2	"C01"	"NDUFB8"	0.47623066631295	"control"	"C01_2"	0.731107942615787	0	0
3	"C01"	"VDAC"	1.6460025816157	"control"	"C01_3"	1.6460025816157	0	0
3	"C01"	"NDUFB8"	2.16531024983725	"control"	"C01_3"	1.91387537775202	0	0
4	"C01"	"VDAC"	1.0784677225175	"control"	"C01_4"	1.0784677225175	0	1
4	"C01"	"NDUFB8"	1.17416136945753	"control"	"C01_4"	1.18324667382191	0	1
5	"C01"	"VDAC"	0.762929629648445	"control"	"C01_5"	0.762929629648445	0	0
5	"C01"	"NDUFB8"	0.76054193737875	"control"	"C01_5"	0.776102158224815	0	0
6	"C01"	"VDAC"	0.989541193613748	"control"	"C01_6"	0.989541193613748	0	0
6	"C01"	"NDUFB8"	1.19998050976436	"control"	"C01_6"	1.00704509514262	0	0
7	"C01"	"VDAC"	0.563368137344235	"control"	"C01_7"	0.563368137344235	0	1
7	"C01"	"NDUFB8"	0.446929253011193	"control"	"C01_7"	0.460916412777159	0	1
8	"C01"	"VDAC"	0.998752769192794	"control"	"C01_8"	0.998752769192794	0	1
8	"C01"	"NDUFB8"	0.970402290466549	"control"	"C01_8"	1.21371245368038	0	1
9	"C01"	"VDAC"	1.08964361878145	"control"	"C01_9"	1.08964361878145	0	0
9	"C01"	"NDUFB8"	0.903771634691159	"control"	"C01_9"	1.12214278593877	0	0
10	"C01"	"VDAC"	0.822080864024548	"control"	"C01_10"	0.822080864024548	0	0
10	"C01"	"NDUFB8"	0.770027393370189	"control"	"C01_10"	0.912614257115381	0	0
11	"C01"	"VDAC"	0.866447381598884	"control"	"C01_11"	0.866447381598884	0	0
11	"C01"	"NDUFB8"	0.84520544322842	"control"	"C01_11"	0.812321617546162	0	0
12	"C01"	"VDAC"	1.01160091167848	"control"	"C01_12"	1.01160091167848	0	0
12	"C01"	"NDUFB8"	1.18198264119709	"control"	"C01_12"	1.14573021161171	0	0
13	"C01"	"VDAC"	1.06733098940665	"control"	"C01_13"	1.06733098940665	0	0
13	"C01"	"NDUFB8"	1.0015498370597	"control"	"C01_13"	1.06170773179281	0	0
14	"C01"	"VDAC"	1.11506740950731	"control"	"C01_14"	1.11506740950731	0	0
14	"C01"	"NDUFB8"	1.16619314689511	"control"	"C01_14"	1.04437746485331	0	0
15	"C01"	"VDAC"	0.842766814973108	"control"	"C01_15"	0.842766814973108	0	0
15	"C01"	"NDUFB8"	1.01324982410362	"control"	"C01_15"	0.834558834455928	0	0
16	"C01"	"VDAC"	1.16245093807759	"control"	"C01_16"	1.16245093807759	0	0
16	"C01"	"NDUFB8"	1.44927887612123	"control"	"C01_16"	1.21362753961385	0	0
17	"C01"	"VDAC"	1.08898139547597	"control"	"C01_17"	1.08898139547597	0	0
17	"C01"	"NDUFB8"	1.077178915858	"control"	"C01_17"	1.29345715928336	0	0
18	"C01"	"VDAC"	0.938717767689825	"control"	"C01_18"	0.938717767689825	0	0
18	"C01"	"NDUFB8"	0.931926553020062	"control"	"C01_18"	0.876327475199657	0	0
19	"C01"	"VDAC"	0.721699082358016	"control"	"C01_19"	0.721699082358016	0	1
19	"C01"	"NDUFB8"	0.495898624043186	"control"	"C01_19"	0.720216502634988	0	1
20	"C01"	"VDAC"	0.671598844310178	"control"	"C01_20"	0.671598844310178	0	0
20	"C01"	"NDUFB8"	0.819005714636212	"control"	"C01_20"	0.675551418634063	0	0
21	"C01"	"VDAC"	1.10172271095207	"control"	"C01_21"	1.10172271095207	0	0
21	"C01"	"NDUFB8"	1.06604795319496	"control"	"C01_21"	1.23932190591552	0	0
22	"C01"	"VDAC"	0.724267089368457	"control"	"C01_22"	0.724267089368457	0	0
22	"C01"	"NDUFB8"	0.619185101863405	"control"	"C01_22"	0.7214776870074	0	0
23	"C01"	"VDAC"	1.11896182814526	"control"	"C01_23"	1.11896182814526	0	0
23	"C01"	"NDUFB8"	1.19835598989718	"control"	"C01_23"	1.14312789404153	0	0
24	"C01"	"VDAC"	0.669132304416835	"control"	"C01_24"	0.669132304416835	0	0
24	"C01"	"NDUFB8"	0.547118297309705	"control"	"C01_24"	0.517582406410689	0	0
25	"C01"	"VDAC"	0.774208218174886	"control"	"C01_25"	0.774208218174886	0	0
25	"C01"	"NDUFB8"	0.705898480073213	"control"	"C01_25"	0.676452301876664	0	0
26	"C01"	"VDAC"	1.06796365396485	"control"	"C01_26"	1.06796365396485	0	0
26	"C01"	"NDUFB8"	1.27325131219312	"control"	"C01_26"	1.1155287622161	0	0
27	"C01"	"VDAC"	1.04056490687203	"control"	"C01_27"	1.04056490687203	0	1
27	"C01"	"NDUFB8"	0.935048871813189	"control"	"C01_27"	1.20819349187962	0	1
28	"C01"	"VDAC"	0.941179493421184	"control"	"C01_28"	0.941179493421184	0	0
28	"C01"	"NDUFB8"	0.88035124871783	"control"	"C01_28"	0.98116431762131	0	0
29	"C01"	"VDAC"	0.89235052430612	"control"	"C01_29"	0.89235052430612	0	0
29	"C01"	"NDUFB8"	1.00720109413767	"control"	"C01_29"	0.745515166209914	0	0
30	"C01"	"VDAC"	0.809136493791027	"control"	"C01_30"	0.809136493791027	0	0
30	"C01"	"NDUFB8"	0.796366913872694	"control"	"C01_30"	0.628608659422374	0	0
31	"C01"	"VDAC"	0.766601628927795	"control"	"C01_31"	0.766601628927795	0	0
31	"C01"	"NDUFB8"	0.899771816542879	"control"	"C01_31"	0.705268541140483	0	0
32	"C01"	"VDAC"	0.828643424723796	"control"	"C01_32"	0.828643424723796	0	0
32	"C01"	"NDUFB8"	0.824900673021041	"control"	"C01_32"	0.770496646712272	0	0
33	"C01"	"VDAC"	1.12743272712406	"control"	"C01_33"	1.12743272712406	0	0
33	"C01"	"NDUFB8"	0.921816636477435	"control"	"C01_33"	1.41738494807513	0	0
34	"C01"	"VDAC"	1.03286091107297	"control"	"C01_34"	1.03286091107297	0	0
34	"C01"	"NDUFB8"	1.33960505605177	"control"	"C01_34"	1.12551974164703	0	0
35	"C01"	"VDAC"	1.08120162045552	"control"	"C01_35"	1.08120162045552	0	0
35	"C01"	"NDUFB8"	1.24942664804987	"control"	"C01_35"	0.994090447890835	0	0
36	"C01"	"VDAC"	1.14224722459644	"control"	"C01_36"	1.14224722459644	0	0
36	"C01"	"NDUFB8"	1.27942083840657	"control"	"C01_36"	1.06276615683171	0	0
37	"C01"	"VDAC"	1.09630281889459	"control"	"C01_37"	1.09630281889459	0	0
37	"C01"	"NDUFB8"	1.27583349336807	"control"	"C01_37"	1.12254505492478	0	0
38	"C01"	"VDAC"	0.781572651414062	"control"	"C01_38"	0.781572651414062	0	0
38	"C01"	"NDUFB8"	1.01689944200858	"control"	"C01_38"	0.685571386561374	0	0
39	"C01"	"VDAC"	0.994933859361335	"control"	"C01_39"	0.994933859361335	0	1
39	"C01"	"NDUFB8"	1.17882800699743	"control"	"C01_39"	0.892636541157116	0	1
40	"C01"	"VDAC"	1.10701569956491	"control"	"C01_40"	1.10701569956491	0	1
