"fibreID"	"sampleID"	"Channel"	"Value"	"sbjType"	"obsID"	"trueValue"	"deficientStatus"	"validationSet"	"meanPosteriorDeficientProb"	"varPosteriorDeficientProb"	"frequentistClassification"
1	"C01"	"VDAC"	6.51809055457094	"control"	"C01_1"	1.67872703638062	0	0	NA	NA	NA
1	"C01"	"MTCO1"	10.2087776832127	"control"	"C01_1"	2.60585925999469	0	0	NA	NA	NA
2	"C01"	"VDAC"	5.09666191392368	"control"	"C01_2"	0.731107942615787	0	0	NA	NA	NA
2	"C01"	"MTCO1"	8.70034466835265	"control"	"C01_2"	1.62244814907611	0	0	NA	NA	NA
3	"C01"	"VDAC"	6.46900387242355	"control"	"C01_3"	1.6460025816157	0	0	NA	NA	NA
3	"C01"	"MTCO1"	10.0870918528365	"control"	"C01_3"	2.75388032390667	0	0	NA	NA	NA
4	"C01"	"VDAC"	5.61770158377625	"control"	"C01_4"	1.0784677225175	0	0	NA	NA	NA
4	"C01"	"MTCO1"	8.41450176982143	"control"	"C01_4"	2.06165610924988	0	0	NA	NA	NA
5	"C01"	"VDAC"	5.14439444447267	"control"	"C01_5"	0.762929629648445	0	0	NA	NA	NA
5	"C01"	"MTCO1"	8.1805496100455	"control"	"C01_5"	1.60278073149557	0	0	NA	NA	NA
6	"C01"	"VDAC"	5.48431179042062	"control"	"C01_6"	0.989541193613748	0	0	NA	NA	NA
6	"C01"	"MTCO1"	8.87342509244999	"control"	"C01_6"	1.84094638007994	0	0	NA	NA	NA
7	"C01"	"VDAC"	4.84505220601635	"control"	"C01_7"	0.563368137344235	0	0	NA	NA	NA
7	"C01"	"MTCO1"	8.25834353556854	"control"	"C01_7"	1.1643836021049	0	0	NA	NA	NA
8	"C01"	"VDAC"	5.49812915378919	"control"	"C01_8"	0.998752769192794	0	0	NA	NA	NA
8	"C01"	"MTCO1"	8.55680802627451	"control"	"C01_8"	2.2586554378196	0	0	NA	NA	NA
9	"C01"	"VDAC"	5.63446542817217	"control"	"C01_9"	1.08964361878145	0	0	NA	NA	NA
9	"C01"	"MTCO1"	8.65864569135189	"control"	"C01_9"	2.17920607180122	0	0	NA	NA	NA
10	"C01"	"VDAC"	5.23312129603682	"control"	"C01_10"	0.822080864024548	0	1	NA	NA	NA
10	"C01"	"MTCO1"	8.00982516981602	"control"	"C01_10"	1.71139815836147	0	1	NA	NA	NA
11	"C01"	"VDAC"	5.29967107239833	"control"	"C01_11"	0.866447381598884	0	0	NA	NA	NA
11	"C01"	"MTCO1"	7.95519789194654	"control"	"C01_11"	1.60843490338866	0	0	NA	NA	NA
12	"C01"	"VDAC"	5.51740136751772	"control"	"C01_12"	1.01160091167848	0	0	NA	NA	NA
12	"C01"	"MTCO1"	9.09265544544136	"control"	"C01_12"	1.9743246610628	0	0	NA	NA	NA
13	"C01"	"VDAC"	5.60099648410997	"control"	"C01_13"	1.06733098940665	0	1	NA	NA	NA
13	"C01"	"MTCO1"	8.77262324992373	"control"	"C01_13"	1.83171152017711	0	1	NA	NA	NA
14	"C01"	"VDAC"	5.67260111426097	"control"	"C01_14"	1.11506740950731	0	0	NA	NA	NA
14	"C01"	"MTCO1"	8.99677542905477	"control"	"C01_14"	1.97458366495567	0	0	NA	NA	NA
15	"C01"	"VDAC"	5.26415022245966	"control"	"C01_15"	0.842766814973108	0	0	NA	NA	NA
15	"C01"	"MTCO1"	8.0282651272922	"control"	"C01_15"	1.72750220240145	0	0	NA	NA	NA
16	"C01"	"VDAC"	5.74367640711638	"control"	"C01_16"	1.16245093807759	0	0	NA	NA	NA
16	"C01"	"MTCO1"	8.7024891728392	"control"	"C01_16"	2.12903095993204	0	0	NA	NA	NA
17	"C01"	"VDAC"	5.63347209321395	"control"	"C01_17"	1.08898139547597	0	0	NA	NA	NA
17	"C01"	"MTCO1"	9.21128615770058	"control"	"C01_17"	2.21690886843705	0	0	NA	NA	NA
18	"C01"	"VDAC"	5.40807665153474	"control"	"C01_18"	0.938717767689825	0	0	NA	NA	NA
18	"C01"	"MTCO1"	8.72093245886775	"control"	"C01_18"	1.68007890946903	0	0	NA	NA	NA
19	"C01"	"VDAC"	5.08254862353702	"control"	"C01_19"	0.721699082358016	0	0	NA	NA	NA
19	"C01"	"MTCO1"	7.97582352192952	"control"	"C01_19"	1.50068411231519	0	0	NA	NA	NA
20	"C01"	"VDAC"	5.00739826646527	"control"	"C01_20"	0.671598844310178	0	0	NA	NA	NA
20	"C01"	"MTCO1"	8.01150900619412	"control"	"C01_20"	1.58590741497629	0	0	NA	NA	NA
21	"C01"	"VDAC"	5.6525840664281	"control"	"C01_21"	1.10172271095207	0	0	NA	NA	NA
21	"C01"	"MTCO1"	8.36713180583815	"control"	"C01_21"	2.07710235929973	0	0	NA	NA	NA
22	"C01"	"VDAC"	5.08640063405269	"control"	"C01_22"	0.724267089368457	0	1	NA	NA	NA
22	"C01"	"MTCO1"	7.28475030207684	"control"	"C01_22"	1.5379789484964	0	1	NA	NA	NA
23	"C01"	"VDAC"	5.67844274221789	"control"	"C01_23"	1.11896182814526	0	0	NA	NA	NA
23	"C01"	"MTCO1"	9.19677355889137	"control"	"C01_23"	1.92234968321988	0	0	NA	NA	NA
24	"C01"	"VDAC"	5.00369845662525	"control"	"C01_24"	0.669132304416835	0	0	NA	NA	NA
