"fibreID"	"sampleID"	"Channel"	"Value"	"sbjType"	"obsID"	"trueValue"	"deficientStatus"	"validationSet"
1	"C01"	"VDAC"	6.51809055457094	"control"	"C01_1"	1.67872703638062	0	0
1	"C01"	"NDUFB8"	5.70188223742536	"control"	"C01_1"	1.62268313924991	0	0
2	"C01"	"VDAC"	5.09666191392368	"control"	"C01_2"	0.731107942615787	0	1
2	"C01"	"NDUFB8"	4.51135092072899	"control"	"C01_2"	0.731107942615787	0	1
3	"C01"	"VDAC"	6.46900387242355	"control"	"C01_3"	1.6460025816157	0	0
3	"C01"	"NDUFB8"	5.70438157898373	"control"	"C01_3"	1.91387537775202	0	0
4	"C01"	"VDAC"	5.61770158377625	"control"	"C01_4"	1.0784677225175	0	1
4	"C01"	"NDUFB8"	4.24624822818516	"control"	"C01_4"	1.18324667382191	0	1
5	"C01"	"VDAC"	5.14439444447267	"control"	"C01_5"	0.762929629648445	0	0
5	"C01"	"NDUFB8"	4.67129155345609	"control"	"C01_5"	0.776102158224815	0	0
6	"C01"	"VDAC"	5.48431179042062	"control"	"C01_6"	0.989541193613748	0	0
6	"C01"	"NDUFB8"	4.54137959338777	"control"	"C01_6"	1.00704509514262	0	0
7	"C01"	"VDAC"	4.84505220601635	"control"	"C01_7"	0.563368137344235	0	0
7	"C01"	"NDUFB8"	4.2110876553638	"control"	"C01_7"	0.460916412777159	0	0
8	"C01"	"VDAC"	5.49812915378919	"control"	"C01_8"	0.998752769192794	0	0
8	"C01"	"NDUFB8"	4.53823052292236	"control"	"C01_8"	1.21371245368038	0	0
9	"C01"	"VDAC"	5.63446542817217	"control"	"C01_9"	1.08964361878145	0	0
9	"C01"	"NDUFB8"	4.62741896562135	"control"	"C01_9"	1.12214278593877	0	0
10	"C01"	"VDAC"	5.23312129603682	"control"	"C01_10"	0.822080864024548	0	0
10	"C01"	"NDUFB8"	4.41030487471	"control"	"C01_10"	0.912614257115381	0	0
11	"C01"	"VDAC"	5.29967107239833	"control"	"C01_11"	0.866447381598884	0	0
11	"C01"	"NDUFB8"	4.54417211888198	"control"	"C01_11"	0.812321617546162	0	0
12	"C01"	"VDAC"	5.51740136751772	"control"	"C01_12"	1.01160091167848	0	0
12	"C01"	"NDUFB8"	5.18784658073314	"control"	"C01_12"	1.14573021161171	0	0
13	"C01"	"VDAC"	5.60099648410997	"control"	"C01_13"	1.06733098940665	0	0
13	"C01"	"NDUFB8"	4.23467762864696	"control"	"C01_13"	1.06170773179281	0	0
14	"C01"	"VDAC"	5.67260111426097	"control"	"C01_14"	1.11506740950731	0	1
14	"C01"	"NDUFB8"	5.00474541841215	"control"	"C01_14"	1.04437746485331	0	1
15	"C01"	"VDAC"	5.26415022245966	"control"	"C01_15"	0.842766814973108	0	0
15	"C01"	"NDUFB8"	4.61827489283327	"control"	"C01_15"	0.834558834455928	0	0
16	"C01"	"VDAC"	5.74367640711638	"control"	"C01_16"	1.16245093807759	0	0
16	"C01"	"NDUFB8"	5.20853904131047	"control"	"C01_16"	1.21362753961385	0	0
17	"C01"	"VDAC"	5.63347209321395	"control"	"C01_17"	1.08898139547597	0	1
17	"C01"	"NDUFB8"	4.7014405613796	"control"	"C01_17"	1.29345715928336	0	1
18	"C01"	"VDAC"	5.40807665153474	"control"	"C01_18"	0.938717767689825	0	1
18	"C01"	"NDUFB8"	4.64724365866794	"control"	"C01_18"	0.876327475199657	0	1
19	"C01"	"VDAC"	5.08254862353702	"control"	"C01_19"	0.721699082358016	0	0
19	"C01"	"NDUFB8"	4.39091000115875	"control"	"C01_19"	0.720216502634988	0	0
20	"C01"	"VDAC"	5.00739826646527	"control"	"C01_20"	0.671598844310178	0	1
20	"C01"	"NDUFB8"	4.56974382727033	"control"	"C01_20"	0.675551418634063	0	1
21	"C01"	"VDAC"	5.6525840664281	"control"	"C01_21"	1.10172271095207	0	0
21	"C01"	"NDUFB8"	4.68868941859346	"control"	"C01_21"	1.23932190591552	0	0
22	"C01"	"VDAC"	5.08640063405269	"control"	"C01_22"	0.724267089368457	0	0
22	"C01"	"NDUFB8"	4.33099047000618	"control"	"C01_22"	0.7214776870074	0	0
23	"C01"	"VDAC"	5.67844274221789	"control"	"C01_23"	1.11896182814526	0	0
23	"C01"	"NDUFB8"	4.86536930931547	"control"	"C01_23"	1.14312789404153	0	0
24	"C01"	"VDAC"	5.00369845662525	"control"	"C01_24"	0.669132304416835	0	0
24	"C01"	"NDUFB8"	4.16767106997242	"control"	"C01_24"	0.517582406410689	0	0
25	"C01"	"VDAC"	5.16131232726233	"control"	"C01_25"	0.774208218174886	0	0
25	"C01"	"NDUFB8"	4.32510591922734	"control"	"C01_25"	0.676452301876664	0	0
26	"C01"	"VDAC"	5.60194548094727	"control"	"C01_26"	1.06796365396485	0	0
26	"C01"	"NDUFB8"	4.54430346207312	"control"	"C01_26"	1.1155287622161	0	0
27	"C01"	"VDAC"	5.56084736030805	"control"	"C01_27"	1.04056490687203	0	0
27	"C01"	"NDUFB8"	4.84435467806037	"control"	"C01_27"	1.20819349187962	0	0
28	"C01"	"VDAC"	5.41176924013178	"control"	"C01_28"	0.941179493421184	0	0
28	"C01"	"NDUFB8"	4.78243486997031	"control"	"C01_28"	0.98116431762131	0	0
29	"C01"	"VDAC"	5.33852578645918	"control"	"C01_29"	0.89235052430612	0	1
29	"C01"	"NDUFB8"	4.7911062202997	"control"	"C01_29"	0.745515166209914	0	1
