"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-3.80890773065906	-2.71847515743107	-1.61033213444145
-1.89706886147604	-3.83277133357053	-2.71604266619743	-1.61699390786758
-1.89086734941062	-3.78749445718247	-2.70488439811127	-1.57636234091656
-1.88466583734521	-3.78084086208703	-2.69579942285529	-1.56405036739867
-1.87846432527979	-3.74847959482399	-2.6901622581314	-1.57860219026094
-1.87226281321438	-3.76404870064655	-2.68655832023883	-1.58063905043881
-1.86606130114897	-3.72335400005397	-2.67427704546306	-1.55130128375925
-1.85985978908355	-3.733406672758	-2.65742013312523	-1.56927504725759
-1.85365827701814	-3.73194443610169	-2.65774984904374	-1.52538834908545
-1.84745676495273	-3.70964495420721	-2.64397512492635	-1.56002370582784
-1.84125525288731	-3.676339772134	-2.64383021951706	-1.59824324141535
-1.8350537408219	-3.67128723160506	-2.63022340360053	-1.55346964903255
-1.82885222875648	-3.68307596896696	-2.61865084329095	-1.56575946659833
-1.82265071669107	-3.64692994203983	-2.60155124907259	-1.54830508353685
-1.81644920462566	-3.69419224120426	-2.61444504101888	-1.52823310991357
-1.81024769256024	-3.66420278790775	-2.60166086974364	-1.49703414507168
-1.80404618049483	-3.6557930999281	-2.57981041808755	-1.5384069540938
-1.79784466842942	-3.6358986319628	-2.58431831339236	-1.49895775199101
-1.791643156364	-3.6241721133775	-2.57125553676745	-1.50751932471824
-1.78544164429859	-3.62092930023656	-2.55372153598708	-1.51162871852833
-1.77924013223318	-3.6137521070396	-2.55076940853636	-1.51539919964735
-1.77303862016776	-3.58566226274405	-2.54658617616287	-1.47143258016467
-1.76683710810235	-3.57660152549852	-2.55070157623298	-1.49848027902324
-1.76063559603693	-3.55927376266863	-2.53815355946336	-1.4819553684549
-1.75443408397152	-3.54502858088838	-2.5145713870656	-1.4684166608375
-1.74823257190611	-3.54343905473287	-2.50548144489644	-1.43553995424183
-1.74203105984069	-3.51468803427795	-2.51175647681935	-1.45312338578227
-1.73582954777528	-3.53298472920198	-2.50369069783238	-1.48236791060745
-1.72962803570987	-3.5252994745598	-2.47895056831354	-1.46133218929709
-1.72342652364445	-3.50052900716414	-2.45898547631536	-1.43994387203099
-1.71722501157904	-3.49647888075316	-2.4615111003445	-1.4458447511055
-1.71102349951362	-3.46711195927709	-2.47008253017256	-1.41226325679538
-1.70482198744821	-3.46385002259963	-2.45919178001783	-1.41826666207285
-1.6986204753828	-3.49994369554211	-2.44182128550743	-1.39758745642051
-1.69241896331738	-3.47825657560584	-2.43674188005634	-1.42081058947046
-1.68621745125197	-3.46439814745884	-2.42259710738946	-1.41652225666558
-1.68001593918656	-3.43281551187918	-2.42092136306213	-1.39119953418618
-1.67381442712114	-3.44518038141691	-2.41219476916043	-1.40829535830979
-1.66761291505573	-3.38839857604256	-2.40145633259987	-1.38873933431543
-1.66141140299031	-3.39678612170792	-2.40700508458135	-1.35047935546951
-1.6552098909249	-3.38758396066762	-2.37927685896807	-1.38563032582306
