"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.07084246155568	-1.79845584822232	-1.52910789623692
-1.89675012620563	-2.0575675701727	-1.78978308461022	-1.51327974965672
-1.89022987886982	-2.06451240590366	-1.79248351566526	-1.51276034832496
-1.88370963153401	-2.05491160793488	-1.7798736116997	-1.50104108030666
-1.87718938419819	-2.04498010076616	-1.77011366385532	-1.50073998740745
-1.87066913686238	-2.02981381314616	-1.7644770426851	-1.49366816891344
-1.86414888952656	-2.03628190049948	-1.76553338243701	-1.49671318247613
-1.85762864219075	-2.01743039906507	-1.75578930067916	-1.48108494323784
-1.85110839485494	-2.01560560989578	-1.75241990998721	-1.4773391564974
-1.84458814751912	-2.03964934963648	-1.73790558015789	-1.48280081242731
-1.83806790018331	-2.00014284209622	-1.73594147206415	-1.45246055648783
-1.83154765284749	-2.00443058935511	-1.73479559439948	-1.45654492483424
-1.82502740551168	-1.9837563246478	-1.72485034259225	-1.45865844363435
-1.81850715817587	-1.98329444963785	-1.71892790435854	-1.44236914881821
-1.81198691084005	-1.98384437889492	-1.71071230697143	-1.43424866383303
-1.80546666350424	-1.98028240600374	-1.70875039415078	-1.43335544592675
-1.79894641616842	-1.98054763832658	-1.7024917208617	-1.41960242077714
-1.79242616883261	-1.96380677349531	-1.69379511187439	-1.41916558979412
-1.7859059214968	-1.96014779070569	-1.69582390542946	-1.41804275075912
-1.77938567416098	-1.95620718737673	-1.68089792162875	-1.41164233536512
-1.77286542682517	-1.94984663957632	-1.6772360482543	-1.4054205808865
-1.76634517948935	-1.94596028313764	-1.67505237220476	-1.41438786257345
-1.75982493215354	-1.93545452377541	-1.66958577017962	-1.40961688288967
-1.75330468481773	-1.91881750505622	-1.65341101750511	-1.37849628319854
-1.74678443748191	-1.92944490093556	-1.65043686284742	-1.39231278315821
-1.7402641901461	-1.91187547833962	-1.645673486698	-1.37503916156927
-1.73374394281028	-1.92073590366858	-1.64477210032319	-1.37659302178926
-1.72722369547447	-1.90741833701501	-1.63895950924205	-1.36544508676718
-1.72070344813866	-1.89765165819219	-1.62843738823018	-1.36602971998553
-1.71418320080284	-1.90110144468503	-1.62680026024871	-1.34084150820319
-1.70766295346703	-1.90364647488176	-1.62117009809613	-1.36606674437102
-1.70114270613121	-1.8906902999375	-1.60623467916706	-1.34862958746548
-1.6946224587954	-1.87950338276811	-1.60932666856752	-1.34763830044341
-1.68810221145959	-1.8741806799615	-1.59864946752278	-1.33518334717402
-1.68158196412377	-1.86438859721872	-1.59717231251326	-1.32802795718057
-1.67506171678796	-1.86331770099964	-1.59144866675576	-1.31704460627452
-1.66854146945214	-1.86217516487599	-1.58121490226773	-1.32459289651317
-1.66202122211633	-1.85714941748447	-1.57518162711773	-1.30483800229824
-1.65550097478052	-1.85243215408576	-1.57160165439066	-1.29897759969389
-1.6489807274447	-1.82991727367185	-1.56500194143545	-1.28530405925559
-1.64246048010889	-1.81239276924255	-1.55681192555898	-1.288973969978
-1.63594023277307	-1.83129502281745	-1.55815461166006	-1.29191779256043
-1.62941998543726	-1.81632258439719	-1.55010981655986	-1.287966515859
-1.62289973810145	-1.80264240773305	-1.54260849053166	-1.27472809750982
-1.61637949076563	-1.79792176689189	-1.53332781420161	-1.27759594199123
-1.60985924342982	-1.80371846075969	-1.52872738002633	-1.26149594802293
-1.603338996094	-1.80572463870539	-1.5224896235793	-1.25714274733653
-1.59681874875819	-1.78938255387604	-1.52281680537378	-1.24601925449807
-1.59029850142237	-1.77726598536008	-1.51573396083085	-1.23949124955594
-1.58377825408656	-1.77817274627802	-1.50650000089462	-1.25426233040251
