"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.88999910457734	-3.78289257059758	-3.37755150116776	-2.96912888123387
-1.88380413010238	-3.77014726001768	-3.36967400429796	-2.94485448975349
-1.87760915562742	-3.78027406811606	-3.34564558391161	-2.93267774396928
-1.87141418115247	-3.73649230906365	-3.34165694156864	-2.94777008417773
-1.86521920667751	-3.75549118827263	-3.32098375802352	-2.91285131267351
-1.85902423220255	-3.69859003121858	-3.31672962105765	-2.90629919764853
-1.8528292577276	-3.692299093315	-3.29093801665411	-2.89409000975453
-1.84663428325264	-3.71502029188072	-3.2967792198414	-2.86685415662647
-1.84043930877768	-3.69345429632149	-3.27891807935296	-2.88141075153002
-1.83424433430273	-3.66657578967676	-3.25813021609344	-2.84048914951207
-1.82804935982777	-3.65843877523695	-3.26180198721366	-2.86739676207138
-1.82185438535281	-3.6563021728857	-3.24489527366628	-2.84394481591308
-1.81565941087785	-3.66146158165062	-3.22616500781681	-2.82779156625174
-1.8094644364029	-3.64004813953078	-3.22589073182299	-2.81143212184556
-1.80326946192794	-3.59139631658591	-3.20347873283464	-2.79460301365475
-1.79707448745298	-3.6108890518036	-3.20146820171022	-2.79455826197835
-1.79087951297803	-3.58693316180593	-3.18247574629325	-2.77136953729106
-1.78468453850307	-3.57158218734935	-3.17025456516989	-2.77293208029416
-1.77848956402811	-3.56393829754937	-3.16298884978524	-2.75101916245718
-1.77229458955316	-3.55900081299004	-3.15404291503336	-2.72705127678134
-1.7660996150782	-3.55683207682699	-3.13381311498392	-2.70730153674288
-1.75990464060324	-3.54547365415148	-3.12848577569437	-2.7144151277435
-1.75370966612829	-3.54004353552867	-3.10777610072158	-2.69652878951243
-1.74751469165333	-3.50072160246388	-3.10089003125826	-2.68765314262934
-1.74131971717837	-3.47857329211252	-3.09277114210619	-2.67663196349255
-1.73512474270341	-3.48721535271831	-3.06671649981946	-2.6710636238006
-1.72892976822846	-3.46331160592104	-3.05739801117445	-2.68071296046916
-1.7227347937535	-3.44410463799375	-3.05411992004934	-2.64176177061447
-1.71653981927854	-3.45230226852486	-3.04229894781624	-2.62883469020767
-1.71034484480359	-3.42316669435584	-3.02652506875108	-2.63595508655093
-1.70414987032863	-3.41636138517698	-3.02061483042145	-2.59841874953567
-1.69795489585367	-3.41344571402628	-3.00378936254885	-2.61029720122289
-1.69175992137872	-3.38192951685535	-2.99271979356387	-2.60695725661755
-1.68556494690376	-3.37779754867817	-2.98600615062398	-2.58281320135084
-1.6793699724288	-3.38022813863837	-2.9694648475955	-2.5588009162966
-1.67317499795385	-3.36844086360331	-2.96542226269781	-2.54696138384575
-1.66698002347889	-3.35948944847227	-2.94554068636137	-2.54432093648982
-1.66078504900393	-3.31854935812926	-2.93120236342253	-2.54040441995889
-1.65459007452897	-3.33416171104581	-2.91649815804173	-2.5024354375722
-1.64839510005402	-3.30874415947939	-2.91014106753066	-2.51481741566751
-1.64220012557906	-3.30242708863939	-2.89248621740878	-2.48242440803079
-1.6360051511041	-3.29889887117203	-2.89032341362167	-2.50532783628917
-1.62981017662915	-3.25985269053323	-2.87367215475659	-2.47073538962671
-1.62361520215419	-3.28764803083575	-2.86364569505055	-2.4663452499339
-1.61742022767923	-3.24651562753729	-2.85301091364791	-2.43753687072527
-1.61122525320428	-3.23194364950109	-2.83274050826421	-2.42066346378766
-1.60503027872932	-3.24126649522991	-2.8241169950535	-2.4299113613402
-1.59883530425436	-3.22141311803947	-2.80919209427436	-2.39902585911083
-1.5926403297794	-3.20259162794668	-2.80413876144801	-2.39246646452634
-1.58644535530445	-3.20808338022533	-2.79385885278553	-2.39669889487482
-1.58025038082949	-3.1983658703801	-2.78004431459112	-2.38941188201826
-1.57405540635453	-3.16364815161956	-2.76729936391486	-2.35073917800251
-1.56786043187958	-3.14328186584455	-2.74852253925562	-2.35099268302146
-1.56166545740462	-3.14918980198407	-2.74580876533266	-2.34160009227992
-1.55547048292966	-3.12743455656777	-2.7292833771999	-2.31389819081505
-1.54927550845471	-3.11694762374782	-2.72086131051401	-2.31957411731913
-1.54308053397975	-3.13065257304069	-2.7057225864886	-2.3135081489713
-1.53688555950479	-3.08334063947368	-2.68735875076918	-2.30364219546732
-1.53069058502984	-3.08969338867009	-2.68388294679368	-2.27740460649457
-1.52449561055488	-3.0669700737344	-2.67886639373505	-2.24916063246761
-1.51830063607992	-3.06604347159613	-2.66595073803323	-2.25754420830442
-1.51210566160496	-3.02404815298532	-2.64856781075173	-2.22427954637757
-1.50591068713001	-3.04763589853725	-2.64245110042973	-2.2377387676682
-1.49971571265505	-3.02590379117709	-2.63047485161031	-2.22470385542519
-1.49352073818009	-3.0083804806014	-2.6096562227011	-2.19438531891885
-1.48732576370514	-3.00350050712773	-2.59623877753271	-2.20783390375684
-1.48113078923018	-3.00335780986628	-2.59463108283418	-2.21838301454573
-1.47493581475522	-2.9708711903805	-2.5776739697248	-2.16624123148925
-1.46874084028027	-2.96951919824375	-2.56645761406591	-2.15886862820858
-1.46254586580531	-2.96800142291495	-2.55917339989407	-2.15498849210585
-1.45635089133035	-2.94131952412014	-2.54837476825786	-2.15195533006043
-1.4501559168554	-2.94174597997139	-2.53066831278929	-2.11601411908644
-1.44396094238044	-2.91275442512934	-2.52562325545847	-2.12306663791418
-1.43776596790548	-2.91852542047308	-2.50865581457219	-2.11843225627571
-1.43157099343052	-2.89774733391982	-2.49030988227128	-2.08782242608364
-1.42537601895557	-2.89376577701117	-2.47656960020162	-2.06537393307013
-1.41918104448061	-2.88287766374048	-2.47453957875334	-2.06385529378688
-1.41298607000565	-2.85269505856786	-2.45744645024695	-2.07660187184956
-1.4067910955307	-2.86594828323276	-2.44844820955375	-2.03121886178855
-1.40059612105574	-2.86040691940328	-2.43224291892573	-2.04072840374208
-1.39440114658078	-2.82830529603859	-2.42715341612607	-2.03344844211413
-1.38820617210583	-2.83660655204686	-2.40430695663092	-2.00790264318392
-1.38201119763087	-2.79590802626095	-2.40741411563955	-1.99921875993103
-1.37581622315591	-2.79319445762979	-2.38808023336484	-1.99482819731946
-1.36962124868096	-2.7848653871112	-2.3847837955051	-1.97629858627914
-1.363426274206	-2.76354945032415	-2.3697842399682	-1.98335366294986
-1.35723129973104	-2.74919435139644	-2.3565182800924	-1.95915420875019
-1.35103632525608	-2.73380272117093	-2.34235225017099	-1.9352558226408
-1.34484135078113	-2.73560254575199	-2.32975347267472	-1.92097312670007
-1.33864637630617	-2.70586504064654	-2.31577155825965	-1.90884733683823
-1.33245140183121	-2.72260965534452	-2.30362239813534	-1.88923265325578
-1.32625642735626	-2.69926285163276	-2.29908839040765	-1.90330270164324
-1.3200614528813	-2.6817266615698	-2.27225593125309	-1.88455229824374
-1.31386647840634	-2.6618917529622	-2.26574386362081	-1.85020910381062
-1.30767150393139	-2.65726126787671	-2.25115404696366	-1.8471513174674
-1.30147652945643	-2.64616599847785	-2.25269839134303	-1.84751713741999
-1.29528155498147	-2.64685138749141	-2.23204391022426	-1.82922146971721
-1.28908658050652	-2.62784539155965	-2.22191291796976	-1.80485909895444
