"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-4.57114332438795	-3.5055082660941	-2.3469358036943
-1.89755293934577	-4.60838870580633	-3.48274838537074	-2.34070315143145
-1.8918355051501	-4.59984398710702	-3.48951385666089	-2.32986328132547
-1.88611807095443	-4.60781211579428	-3.48570943172316	-2.35441746567604
-1.88040063675875	-4.53167423623977	-3.46205883093025	-2.31391044577194
-1.87468320256308	-4.53113900702648	-3.44692588487302	-2.31467709681603
-1.8689657683674	-4.5373258475678	-3.44585372054178	-2.32313828845083
-1.86324833417173	-4.54264015909975	-3.42509072839321	-2.27569062183559
-1.85753089997605	-4.53150471833563	-3.42682804596273	-2.29398776063895
-1.85181346578038	-4.47612730210819	-3.40447859398979	-2.27671929614503
-1.8460960315847	-4.43604348167564	-3.41061439654081	-2.30916668453573
-1.84037859738903	-4.43642478314141	-3.38849399751387	-2.25874532753888
-1.83466116319335	-4.46968465126072	-3.38224442850771	-2.24247459406033
-1.82894372899768	-4.49300414401466	-3.37285299380334	-2.26089046718763
-1.82322629480201	-4.43526891744995	-3.36729198287584	-2.24073712512491
-1.81750886060633	-4.41455568359469	-3.35685983243633	-2.25064556122981
-1.81179142641066	-4.39518759227877	-3.32791873906838	-2.26032660847413
-1.80607399221498	-4.40831126500781	-3.32262755831207	-2.22611647304758
-1.80035655801931	-4.38748402866145	-3.31898733635392	-2.25801463268038
-1.79463912382363	-4.39544658738017	-3.3081079898951	-2.22179484019058
-1.78892168962796	-4.38725567030504	-3.30497465592093	-2.21163231902691
-1.78320425543228	-4.34429078495751	-3.28231306800792	-2.22951032827982
-1.77748682123661	-4.327520490731	-3.27290717321949	-2.18641284806438
-1.77176938704093	-4.28431135234329	-3.26208410709507	-2.16454677618849
-1.76605195284526	-4.3241865729338	-3.26689173462787	-2.13846806346875
-1.76033451864959	-4.29102093629665	-3.2300903488941	-2.17946516801281
-1.75461708445391	-4.26100897621134	-3.24883116241037	-2.17489040320997
-1.74889965025824	-4.29057537857634	-3.24054832009834	-2.13963602866326
-1.74318221606256	-4.28099963636127	-3.19858197733786	-2.18819246961939
-1.73746478186689	-4.21808120237282	-3.19551587620664	-2.12931541345136
-1.73174734767121	-4.27155650164358	-3.19407654060544	-2.13810995257135
-1.72602991347554	-4.22266047095815	-3.19273080802007	-2.08689731033868
-1.72031247927986	-4.21877654742927	-3.17105085504568	-2.1249668927383
-1.71459504508419	-4.18813884730202	-3.16001820275366	-2.12810950951567
-1.70887761088851	-4.1525722005832	-3.16546496660006	-2.06978071734976
-1.70316017669284	-4.17804913818126	-3.13557185093192	-2.06161221710161
-1.69744274249717	-4.13204728416638	-3.12572879371419	-2.06431380605399
-1.69172530830149	-4.13286045026578	-3.12761716337278	-2.05392971720188
-1.68600787410582	-4.12338099807666	-3.10935004646431	-2.04680812188667
-1.68029043991014	-4.09966388170404	-3.09414134305997	-2.04824853580667
-1.67457300571447	-4.10573234483779	-3.08967652270307	-2.08574429010455
-1.66885557151879	-4.09416754492035	-3.07494757431889	-2.04003358366843
-1.66313813732312	-4.09080089602002	-3.06665867615735	-2.01327978872288
-1.65742070312744	-4.05396244020388	-3.05532348017571	-2.04294772841232
-1.65170326893177	-4.07192283056472	-3.04131603017932	-1.99715434982453
-1.64598583473609	-4.08981321155093	-3.0343580791792	-1.99242861869722
-1.64026840054042	-4.0920484607518	-3.02253953077201	-2.00557972514906
-1.63455096634475	-4.06490749509906	-3.03165132936782	-1.98899182793677
-1.62883353214907	-4.01217335436392	-2.99169039035421	-1.98730690152202
-1.6231160979534	-4.02236013642674	-2.99045912138177	-1.97419889619155
-1.61739866375772	-3.98874273966793	-2.99901386706567	-1.9273500079299
-1.61168122956205	-3.94557119322564	-2.96312026222324	-1.9706024092655
-1.60596379536637	-3.94989629831083	-2.97158988333099	-1.96450937513048
-1.6002463611707	-3.95697634705989	-2.94563527996247	-1.94528653270815
-1.59452892697502	-3.95426868487646	-2.92956827614557	-1.9178249508161
-1.58881149277935	-3.94907647953412	-2.93794023209607	-1.95544213301402
-1.58309405858367	-3.88385811400338	-2.93175351741764	-1.88352822666326
-1.577376624388	-3.87859584244541	-2.91451160414029	-1.91926962641364
-1.57165919019233	-3.90249894434087	-2.8883158988674	-1.8565046872341
-1.56594175599665	-3.85042150856306	-2.88838658683787	-1.9146499030164
-1.56022432180098	-3.8374467318071	-2.86849232172841	-1.87603898859499
-1.5545068876053	-3.83557556960489	-2.86534740567538	-1.86638416855419
-1.54878945340963	-3.78679137910558	-2.84938041517353	-1.88988771972795
-1.54307201921395	-3.83495830057051	-2.86565532970907	-1.85116043994966
-1.53735458501828	-3.81551730920278	-2.83964819698256	-1.83868961983624
-1.5316371508226	-3.80331579072831	-2.83347047711609	-1.83430748439668
-1.52591971662693	-3.77041516923959	-2.82243395340337	-1.8229676922833
-1.52020228243125	-3.78290789189065	-2.79538875612396	-1.82750897202663
-1.51448484823558	-3.76170190505374	-2.78060303791938	-1.85733132584113
-1.50876741403991	-3.7624030971406	-2.79408693559729	-1.83175481400797
-1.50304997984423	-3.76044000081404	-2.75888750397701	-1.77515915147137
-1.49733254564856	-3.73099791868932	-2.7668765388655	-1.79274286922742
