"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-1.90327037354145	-2.64338219321829	-2.37648499353985	-2.10453863344845
-1.89761729101225	-2.63525216807629	-2.3756728634288	-2.09133026921758
-1.89196420848305	-2.63691491642832	-2.36446751336125	-2.09628053124914
-1.88631112595385	-2.63952934249592	-2.35890388240276	-2.10458748958422
-1.88065804342465	-2.61681882372407	-2.34275757683652	-2.08166685395217
-1.87500496089545	-2.6096902061581	-2.34106521317622	-2.05509832927197
-1.86935187836625	-2.60201065469496	-2.33850024154777	-2.08031749983972
-1.86369879583705	-2.60143507066959	-2.33709480051502	-2.07047450137554
-1.85804571330785	-2.59979639359252	-2.32282370376456	-2.05378842431875
-1.85239263077865	-2.59555883450824	-2.32324182053015	-2.04444700125492
-1.84673954824945	-2.58587158995722	-2.31787887571634	-2.04695887618566
-1.84108646572025	-2.57192189137521	-2.30633642907921	-2.03419369580766
-1.83543338319106	-2.56338537153926	-2.30136033021551	-2.03163733647857
-1.82978030066186	-2.55863413829551	-2.29917554949332	-2.01695582076257
-1.82412721813266	-2.54870363682016	-2.28801944560107	-2.03205271885445
-1.81847413560346	-2.55029372444272	-2.28379785030932	-2.02732310278557
-1.81282105307426	-2.55420130133872	-2.27974293433858	-2.00699214076739
-1.80716797054506	-2.52041024446905	-2.27280359514336	-2.01189914748144
-1.80151488801586	-2.53134453239504	-2.26410638846188	-1.99258865422737
-1.79586180548666	-2.53853601668389	-2.25509856637395	-1.98534789563766
-1.79020872295746	-2.51921936338427	-2.2499441682362	-1.9865623765659
-1.78455564042826	-2.51202622936009	-2.24523089350165	-1.98685008033641
-1.77890255789906	-2.51324544992345	-2.23946247981448	-1.97207877883725
-1.77324947536986	-2.49244162791923	-2.2311214315431	-1.95765637412568
-1.76759639284066	-2.48585361055425	-2.2249230445957	-1.96105372792972
-1.76194331031146	-2.47966613547999	-2.22212657691137	-1.95345285119188
-1.75629022778226	-2.46891156822706	-2.20840984214008	-1.93787652161302
-1.75063714525306	-2.47297457879081	-2.2021617032102	-1.93280962963216
-1.74498406272386	-2.46734800115523	-2.20426153288319	-1.94007430829484
-1.73933098019466	-2.45312828780842	-2.18980193874731	-1.92195182139742
