	value	id	patient_id	channel	patient_type	cell_id
1	5.358730159	1	C01	VDAC	control	C01_1
2	4.149206349	1	C01	CYB	control	C01_1
3	13.54285714	1	C01	MTCO1	control	C01_1
4	5.066666667	1	C01	NDUFB8	control	C01_1
5	2.077380952	2	C01	VDAC	control	C01_2
6	2.267857143	2	C01	CYB	control	C01_2
7	5.06547619	2	C01	MTCO1	control	C01_2
8	2.077380952	2	C01	NDUFB8	control	C01_2
9	5.186206897	3	C01	VDAC	control	C01_3
10	4.531034483	3	C01	CYB	control	C01_3
11	15.70344828	3	C01	MTCO1	control	C01_3
12	6.779310345	3	C01	NDUFB8	control	C01_3
13	2.94017094	4	C01	VDAC	control	C01_4
14	2.688034188	4	C01	CYB	control	C01_4
15	7.858974359	4	C01	MTCO1	control	C01_4
16	3.264957265	4	C01	NDUFB8	control	C01_4
17	2.144549763	5	C01	VDAC	control	C01_5
18	2.156398104	5	C01	CYB	control	C01_5
19	4.966824645	5	C01	MTCO1	control	C01_5
20	2.172985782	5	C01	NDUFB8	control	C01_5
21	2.69	6	C01	VDAC	control	C01_6
22	2.315	6	C01	CYB	control	C01_6
23	6.3025	6	C01	MTCO1	control	C01_6
24	2.7375	6	C01	NDUFB8	control	C01_6
25	1.756578947	7	C01	VDAC	control	C01_7
26	1.690789474	7	C01	CYB	control	C01_7
27	3.203947368	7	C01	MTCO1	control	C01_7
28	1.585526316	7	C01	NDUFB8	control	C01_7
29	2.714893617	8	C01	VDAC	control	C01_8
30	3.382978723	8	C01	CYB	control	C01_8
31	9.570212766	8	C01	MTCO1	control	C01_8
32	3.365957447	8	C01	NDUFB8	control	C01_8
33	2.973214286	9	C01	VDAC	control	C01_9
34	3.013392857	9	C01	CYB	control	C01_9
35	8.839285714	9	C01	MTCO1	control	C01_9
36	3.071428571	9	C01	NDUFB8	control	C01_9
37	2.275229358	10	C01	VDAC	control	C01_10
38	2.23853211	10	C01	CYB	control	C01_10
39	5.536697248	10	C01	MTCO1	control	C01_10
40	2.490825688	10	C01	NDUFB8	control	C01_10
41	2.378446115	11	C01	VDAC	control	C01_11
42	2.147869674	11	C01	CYB	control	C01_11
43	4.994987469	11	C01	MTCO1	control	C01_11
44	2.253132832	11	C01	NDUFB8	control	C01_11
45	2.75	12	C01	VDAC	control	C01_12
46	2.478070175	12	C01	CYB	control	C01_12
47	7.201754386	12	C01	MTCO1	control	C01_12
48	3.144736842	12	C01	NDUFB8	control	C01_12
49	2.907608696	13	C01	VDAC	control	C01_13
50	2.331521739	13	C01	CYB	control	C01_13
51	6.244565217	13	C01	MTCO1	control	C01_13
52	2.891304348	13	C01	NDUFB8	control	C01_13
53	3.049773756	14	C01	VDAC	control	C01_14
54	2.357466063	14	C01	CYB	control	C01_14
55	7.20361991	14	C01	MTCO1	control	C01_14
56	2.841628959	14	C01	NDUFB8	control	C01_14
57	2.32278481	15	C01	VDAC	control	C01_15
58	2.208860759	15	C01	CYB	control	C01_15
59	5.626582278	15	C01	MTCO1	control	C01_15
60	2.303797468	15	C01	NDUFB8	control	C01_15
61	3.197761194	16	C01	VDAC	control	C01_16
62	2.891791045	16	C01	CYB	control	C01_16
63	8.406716418	16	C01	MTCO1	control	C01_16
64	3.365671642	16	C01	NDUFB8	control	C01_16
65	2.971246006	17	C01	VDAC	control	C01_17
66	2.405750799	17	C01	CYB	control	C01_17
67	9.178913738	17	C01	MTCO1	control	C01_17
68	3.645367412	17	C01	NDUFB8	control	C01_17
69	2.556701031	18	C01	VDAC	control	C01_18
70	2.149484536	18	C01	CYB	control	C01_18
71	5.365979381	18	C01	MTCO1	control	C01_18
72	2.402061856	18	C01	NDUFB8	control	C01_18
73	2.057926829	19	C01	VDAC	control	C01_19
74	1.81402439	19	C01	CYB	control	C01_19
75	4.484756098	19	C01	MTCO1	control	C01_19
76	2.054878049	19	C01	NDUFB8	control	C01_19
77	1.957364341	20	C01	VDAC	control	C01_20
78	2.290697674	20	C01	CYB	control	C01_20
79	4.88372093	20	C01	MTCO1	control	C01_20
80	1.965116279	20	C01	NDUFB8	control	C01_20
81	3.009345794	21	C01	VDAC	control	C01_21
82	2.813084112	21	C01	CYB	control	C01_21
83	7.981308411	21	C01	MTCO1	control	C01_21
84	3.453271028	21	C01	NDUFB8	control	C01_21
85	2.063218391	22	C01	VDAC	control	C01_22
86	2.025862069	22	C01	CYB	control	C01_22
87	4.655172414	22	C01	MTCO1	control	C01_22
88	2.057471264	22	C01	NDUFB8	control	C01_22
89	3.061674009	23	C01	VDAC	control	C01_23
90	2.356828194	23	C01	CYB	control	C01_23
91	6.837004405	23	C01	MTCO1	control	C01_23
92	3.136563877	23	C01	NDUFB8	control	C01_23
93	1.952542373	24	C01	VDAC	control	C01_24
94	1.66440678	24	C01	CYB	control	C01_24
95	3.172881356	24	C01	MTCO1	control	C01_24
96	1.677966102	24	C01	NDUFB8	control	C01_24
97	2.168874172	25	C01	VDAC	control	C01_25
98	1.778145695	25	C01	CYB	control	C01_25
99	3.986754967	25	C01	MTCO1	control	C01_25
100	1.966887417	25	C01	NDUFB8	control	C01_25
101	2.909448819	26	C01	VDAC	control	C01_26
102	2.42519685	26	C01	CYB	control	C01_26
103	7.192913386	26	C01	MTCO1	control	C01_26
104	3.051181102	26	C01	NDUFB8	control	C01_26
105	2.83081571	27	C01	VDAC	control	C01_27
106	3.302114804	27	C01	CYB	control	C01_27
107	8.761329305	27	C01	MTCO1	control	C01_27
108	3.347432024	27	C01	NDUFB8	control	C01_27
109	2.563002681	28	C01	VDAC	control	C01_28
110	2.565683646	28	C01	CYB	control	C01_28
111	6.721179625	28	C01	MTCO1	control	C01_28
112	2.667560322	28	C01	NDUFB8	control	C01_28
113	2.440860215	29	C01	VDAC	control	C01_29
114	1.694623656	29	C01	CYB	control	C01_29
